Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
3/12/2024 13:13:31,7,7,7,3,5,5,19,Savory,2,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 13:13:35,10,10,10,10,8,10,20,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 13:13:54,2,5,6,1,1,1,18,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 13:13:57,6,8,7,7,9,9,20,Sweet,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/12/2024 13:14:01,6,5,4,8,6,7,18,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 13:14:03,6,7,8,4,5,5,19,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 13:14:06,8,9,9,9,5,6,21,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/12/2024 13:14:14,9,4,8,3,3,3,21,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 13:14:16,8,8,8,3,5,3,18,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/12/2024 13:14:19,10,8,9,8,4,5,20,Savory,1,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 13:14:54,10,10,10,3,7,2,18,Sweet,2,"No, not vegan","Yes, I consume dairy",5-7 hours
3/12/2024 13:15:38,7,8,8,10,5,6,20,Sweet,4,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 15:33:50,9,9,10,7,8,7,19,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 15:34:27,10,8,8,10,5,3,18,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/13/2024 15:34:32,8,8,8,6,5,5,19,Sweet,4,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 15:34:50,9,8,8,9,5,8,19,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/13/2024 15:34:51,9,9,9,9,7,7,20,Sweet,5,"No, not vegan","Yes, I consume dairy",7+ hours
3/13/2024 15:34:56,7,5,8,2,5,4,20,Sweet,2,"No, not vegan","Yes, I consume dairy",5-7 hours
3/13/2024 15:35:11,9,8,8,7,6,7,19,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/13/2024 15:35:43,6,9,7,5,5,5,20,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 17:18:35,8,5,6,4,2,5,22,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/15/2024 13:26:19,8,8,8,2,1,2,,,,,,
3/15/2024 13:26:50,10,10,10,10,9,10,20,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/15/2024 13:26:51,6,8,8,4,4,3,20,Savory,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/15/2024 13:27:14,8,7,6,1,1,1,20,Savory,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/15/2024 13:27:16,7,8,8,7,5,5,21,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/15/2024 13:27:22,7,4,5,7,5,6,25,Savory,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/19/2024 15:15:40,9,8,9,6,6,6,18,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/19/2024 15:15:46,9,10,9,1,2,3,18,Savory,4,"No, not vegan","Yes, I consume dairy",7+ hours
3/19/2024 15:15:49,9,9,10,4,4,4,21,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/19/2024 15:15:58,10,10,10,8,5,5,18,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/19/2024 15:16:00,7,8,7,8,3,5,22,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/19/2024 15:16:19,4,6,5,7,4,3,20,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/19/2024 15:17:26,10,10,10,3,3,2,19,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/20/2024 21:23:58,5,5,5,7,7,5,21,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/28/2024 19:35:17,8,5,6,6,6,5,24,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours